date,open,high,low,close,volume
2024-05-08,62323.36,63004.6,60867.52,61179.81,18593.4
2024-05-09,61179.81,63429.98,60623.94,63077.18,18440.55
2024-05-10,63077.18,63469.13,60181.24,60790.82,25390.35
2024-05-11,60790.82,61489.54,60474.73,60823.19,8298.11
2024-05-12,60823.19,61838.51,60600.9,61459.22,8214.5
2024-05-13,61459.22,63445.72,60758.38,62932.29,21250.01
2024-05-14,62932.29,63097.07,61094.77,61548.48,26392.04
2024-05-15,61548.48,66467.29,61325.48,66245.16,40708.36
2024-05-16,66245.16,66760.54,64600.05,65250.53,24275.96
2024-05-17,65250.53,67489.24,65120.39,67051.35,23340.48
2024-05-18,67051.35,67397.7,66633.01,66927.56,8752.24
2024-05-19,66927.56,67696.21,65878.18,66268.25,9725.64
2024-05-20,66268.25,71546.4,66071.74,71430.23,38260.49
2024-05-21,71430.23,71964.79,69158.99,70141.17,30747.6
2024-05-22,70141.17,70643.89,68952.24,69123.56,22981.44
2024-05-23,69123.56,70037.76,66370.0,67946.35,28168.79
2024-05-24,67946.35,69264.17,66613.35,68548.33,18239.62
2024-05-25,68548.33,69599.81,68498.87,69288.95,5972.0
2024-05-26,69288.95,69511.53,68156.05,68488.29,5502.87
2024-05-27,68488.29,70613.89,68227.32,69386.83,13110.64
2024-05-28,69386.83,69533.54,67206.37,68330.84,22223.83
2024-05-29,68330.84,68858.38,67099.33,67576.81,16353.37
2024-05-30,67576.81,69520.94,67107.22,68346.19,20828.64
2024-05-31,68346.19,69012.82,66605.09,67482.25,19922.04
2024-06-01,67482.25,67831.31,67383.55,67721.6,4400.74
2024-06-02,67721.6,68409.58,67279.96,67738.74,6731.43
2024-06-03,67738.74,70283.97,67584.62,68799.6,22783.46
2024-06-04,68799.6,71090.99,68553.54,70548.51,29746.55
2024-06-05,70548.51,71782.2,70371.34,71117.68,21737.62
2024-06-06,71117.68,71642.27,70113.83,70772.35,16078.4
2024-06-07,70772.35,71943.4,68439.15,69330.51,28318.21
2024-06-08,69330.51,69547.91,69152.66,69303.58,5753.02
2024-06-09,69303.58,69837.26,69131.01,69639.42,5137.66
2024-06-10,69639.42,70172.0,69166.61,69505.57,12116.49
2024-06-11,69505.57,69550.65,66054.78,67319.41,31800.9
2024-06-12,67319.41,70021.47,66896.79,68247.0,31159.85
2024-06-13,68247.0,68428.43,66224.61,66742.54,23051.5
2024-06-14,66742.54,67317.79,65026.62,66006.13,24684.72
2024-06-15,66006.13,66419.48,65832.26,66188.81,6139.62
2024-06-16,66188.81,66916.83,66012.05,66631.59,6512.06
2024-06-17,66631.59,67264.71,65062.53,66481.73,28974.78
2024-06-18,66481.73,66570.67,64033.69,65158.02,35263.17
2024-06-19,65158.02,65708.56,64656.84,64950.82,13478.88
2024-06-20,64950.82,66462.52,64527.9,64847.89,22559.77
2024-06-21,64847.89,65018.39,63350.87,64119.34,22310.94
2024-06-22,64119.34,64500.0,63924.68,64250.18,5570.5
2024-06-23,64250.18,64504.84,63154.88,63181.02,6504.7
2024-06-24,63181.02,63335.53,58443.98,60270.95,48177.24
2024-06-25,60270.95,62385.37,60232.04,61796.56,31697.13
2024-06-26,61796.56,62471.55,60684.69,60824.43,23423.63
2024-06-27,60824.43,62341.3,60562.27,61630.1,22562.67
2024-06-28,61630.1,62168.03,59907.92,60324.3,24288.31
2024-06-29,60324.3,61129.31,60294.22,60905.3,9214.26
2024-06-30,60905.3,62949.76,60637.5,62685.88,12626.61
2024-07-01,62685.88,63800.98,62462.2,62841.27,25708.72
2024-07-02,62841.27,63219.74,61453.08,62044.48,20510.77
2024-07-03,62044.48,62198.73,59373.07,60157.2,27365.92
2024-07-04,60157.2,60428.43,56728.63,57041.11,40351.82
2024-07-05,57041.11,57494.97,53528.09,56646.24,57490.15
2024-07-06,56646.24,58495.08,56035.03,58255.65,18766.95
2024-07-07,58255.65,58452.39,55734.13,55866.6,18402.28
2024-07-08,55866.6,58166.93,54305.08,56709.76,43439.51
2024-07-09,56709.76,58289.53,56296.1,58047.2,29452.6
2024-07-10,58047.2,59463.57,57165.19,57725.78,28064.27
2024-07-11,57725.78,59494.11,57072.63,57348.75,29764.17
2024-07-12,57348.75,58543.78,56554.34,57913.68,27242.71
2024-07-13,57913.68,59866.89,57784.15,59231.06,13963.3
2024-07-14,59231.06,61424.95,59222.6,60818.77,20080.87
2024-07-15,60818.77,64936.75,60688.12,64765.55,43679.34
2024-07-16,64765.55,65399.48,62434.72,65087.61,38850.8
2024-07-17,65087.61,66131.67,63872.53,64096.64,28170.64
2024-07-18,64096.64,65118.55,63235.08,63981.43,21904.27
2024-07-19,63981.43,67468.45,63305.25,66708.49,33756.81
2024-07-20,66708.49,67626.82,66291.51,67163.86,12566.25
2024-07-21,67163.86,68370.58,65840.58,68176.98,18123.31
2024-07-22,68176.98,68490.59,66594.51,67567.71,26712.99
2024-07-23,67567.71,67774.86,65465.88,65939.83,29465.67
2024-07-24,65939.83,67120.99,65112.45,65375.53,21576.01
2024-07-25,65375.53,66154.31,63429.11,65794.0,29473.48
2024-07-26,65794.0,68219.43,65734.24,67925.17,24567.97
2024-07-27,67925.17,69416.52,66675.48,67904.55,26420.73
2024-07-28,67904.55,68306.74,67054.94,68252.75,11980.7
2024-07-29,68252.75,70027.05,66436.99,66782.78,33524.03
2024-07-30,66782.78,66989.18,65293.95,66180.04,24376.6
